Kilometers_Driven,Transmission,Owner_Type,Mileage (kmpl),Engine (CC),Power (bhp),Seats,Price,year_diff_from_2021,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune
11.184435286790631,1,0,26.6,6.906754778648554,4.080245637842599,5.0,0.5596157879354227,2.4849066497880004,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.62135173563291,1,0,19.67,7.367077059881012,4.845760650906022,5.0,2.5257286443082556,1.9459101490553132,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10.736418414365376,1,0,18.2,7.090076835776092,4.49647076906475,5.0,1.5040773967762742,2.3978952727983707,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11.373674891823535,1,0,20.77,7.130098510125578,4.497139441774387,7.0,1.791759469228055,2.302585092994046,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10.613270586747499,0,2,15.2,7.585281078639126,4.954417614098027,5.0,2.8758219768814333,2.1972245773362196,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11.225256725762893,1,0,21.1,6.703188113240863,4.028916756899646,5.0,0.8544153281560676,2.302585092994046,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11.37366339763672,1,0,23.08,7.2875606403097235,4.160444363926624,5.0,1.252762968495368,2.1972245773362196,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10.491301994830229,0,0,11.36,7.9215356321335495,5.150397236471415,8.0,2.8622008809294686,1.791759469228055,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11.073350162732405,1,0,20.54,7.377133712833954,4.650143551630823,5.0,1.6486586255873816,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11.09639435387813,1,2,22.3,7.130098510125578,4.31748811353631,5.0,0.6678293725756554,2.302585092994046,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10.153973860242045,1,0,21.56,7.288244401020124,4.646791860678911,5.0,2.2975725511705014,1.3862943611198906,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11.002116507732017,0,0,16.8,7.311886164077165,4.76473475565943,5.0,1.501852701754163,2.302585092994046,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11.073257035520566,1,0,25.2,7.130098510125578,4.31748811353631,5.0,1.7227665977411035,1.9459101490553132,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11.184435286790631,0,0,12.7,7.687080155783135,5.240158452374504,5.0,3.295836866004329,2.0794415416798357,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11.608244735642321,1,0,13.5,7.815207062189088,5.173660761948481,7.0,2.70805020110221,2.0794415416798357,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10.984461869350051,1,0,25.8,7.312553498102598,4.601162164590552,5.0,1.6863989535702288,1.791759469228055,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10.12667110305036,1,0,28.4,7.130098510125578,4.31748811353631,5.0,1.7900914121273581,1.6094379124341003,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11.257646043625948,1,0,20.45,7.2875606403097235,4.440295542797857,5.0,1.8468787684491346,2.0794415416798357,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11.270866642542865,0,0,14.84,7.670428522190693,5.12764766249453,5.0,3.332204510175204,2.0794415416798357,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10.403747556197336,0,0,22.69,7.59890045687141,5.25227342804663,5.0,2.920469789053444,2.0794415416798357,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10.922208510961449,1,2,23.65,7.130098510125578,4.4942386252808095,5.0,2.1102132003465894,1.9459101490553132,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10.932856938462077,0,0,13.53,7.59337419312129,5.181839728489342,5.0,3.1570004211501135,1.9459101490553132,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10.732214027337896,1,0,18.5,7.088408778675395,4.394449154672439,5.0,0.6259384308664954,2.4849066497880004,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10.404293143019792,0,0,14.4,7.377133712833954,4.650143551630823,5.0,1.0473189942805592,2.4849066497880004,0,0,0,1,0,0,0,0,0,0,0,1,0,0
